"Date","Aevo","ApeX","Avantis","Bluefin","Drift Protocol","dYdX v3","dYdX v4","GMX","Holdstation","Hyperliquid","Jupiter","KTX Finance","Level Finance","Mux Protocol","Perpetual Protocol","RabbitX","Synthetix","Vertex Protocol"
"01-Jan-25","4655810.847698161","463133691.7729","2951409.609016035","135137505.96388","72071522.943769","95131774.7708","95131774.7708","102079205.60494258","162748367.61","2157256818.4377623","348990507.590199","1288.0836810283104","933608.2004249002","868999.9473275109","59175.00458577224","54172454.302479","8439737.391710829","30721821.75813749"
"02-Jan-25","10690037.684398942","579100486.18521","4953558.166929856","252251034.34757","185499167.55405807","218971353.84633702","218971353.84633702","171782962.95510995","162378023.2","3645816158.6322737","770919280.378141","8218.808450773196","688402.4375069491","3441425.3669809652","138918.1216291414","46728878.119719","12745157.44764216","46396916.92678617"
"03-Jan-25","7033373.850956803","520694956.145495","6746310.273069263","254157119.58898002","168572291.73140088","259376095.4674","259376095.4674","156094703.00817037","128054012.25","3573160271.3992486","673585759.12822","1394.8896772356702","414584.717891341","2501078.7608118565","120066.5539466077","43667721.153989","15513547.92688143","35946174.24570229"
"04-Jan-25","6579437.991182337","476675446.32653","6935479.453944798","101362420.96165","80857117.738124","133040185.0428","133040185.0428","183679319.2187093","164843707.3","2506267603.4236145","354740247.449734","4511.653499722211","1742877.8507188305","1888256.0699925204","118143.0970503507","37771232.286711","17807544.39995884","22691878.89257467"
"05-Jan-25","7559922.060790715","475644784.35763997","3702094.44098431","85422231.4229","88615764.810612","96798905.741","96798905.741","99734329.58414261","163865684.25","2149149006.151283","405272827.726439","0","26113.93313726721","1052779.9448906835","111374.9975565908","36906731.231211","14675862.08418046","18407722.777192395"
"06-Jan-25","9597890.414671803","590730658.66605","7418185.90207909","160182754.60189","123163600.05821702","330332453.009224","330332453.009224","209766108.73155352","","4404918704.098359","729314641.276276","782.4160947288939","543191.928566596","3620602.614563384","169527.5724924447","45483238.149647","18223453.25438688","47764026.02428771"
"07-Jan-25","13513913.374883624","687876742.361105","11015383.63154642","207796774.07365","172391054.414761","455388273.346329","455388273.346329","287951994.73910767","165812817.53","7004545546.809593","977911525.67069","1646.0180865173465","877994.3632467579","7164574.490370469","234196.390648579","56343719.447176","24305233.16474221","77209958.81064573"
"08-Jan-25","16935210.78468735","564925568.70241","8311731.419823209","276496258.61402","243122720.8763382","474702446.1057","474702446.1057","365146944.46269464","166776706.04","6019784666.991274","1005914486.145417","7814.430931523305","1944834.629243519","9061468.087043313","183646.8887369536","23713707.288576","21050814.34745948","65007910.20097858"
"09-Jan-25","13130620.725840632","507382154.12180495","7540824.711385225","266974079.74936","163229703.222122","430792252.6205","430792252.6205","268088724.7833466","166931701.24","7123327274.1261215","1117598234.207502","3502.5592062461096","705590.6062790214","11743631.664306736","144280.3933529137","40563097.439175","24962207.13616919","63687224.81197281"
"10-Jan-25","11824290.478140313","474951620.079015","8613146.905409535","260772438.92378","173761497.62760898","405774213.9797","405774213.9797","208183237.87850398","168143725.84","5110006119.872232","620228636.727924","1789.2726255183243","1154399.7033088629","3866055.2715525203","111115.4594048904","41149783.644946","13661724.52129034","61651853.06738395"
"11-Jan-25","4519314.6671240125","408749037.635145","3311758.161151448","178782950.63386","62530710.41931901","87845033.409452","87845033.409452","126868932.66197537","166482861.73","1975220110.645682","284705675.702309","2409.8012552067817","443780.15587621887","1251442.6122646295","36236.8532581164","28591776.357196998","7052499.337239683","23858274.467410196"
"12-Jan-25","4506706.896552272","408925521.538565","4510170.467590713","195565059.01858","36468720.644538","129837310.38579999","129837310.38579999","86091817.13757454","168891579.71","1868823313.5228202","258883278.854751","2234.658330275697","123308.05885470664","906650.7647232511","34618.19906044566","33456607.568622","3458702.737467365","24827032.854966637"
"13-Jan-25","18765309.78027003","509044474.77155995","10863324.68805936","379250891.80364","213793456.14446703","482801407.667232","482801407.667232","315946087.03233343","169449105.27","7614889367.896159","1407635268.051144","2521.563907964908","1244889.4832150962","5653393.6279387195","171493.4125653451","53236611.199733","23591099.3851677","112169867.23671882"
"14-Jan-25","11508790.131845087","436421338.849975","10165319.18705796","187283005.59356","98390130.32128996","206042713.9797","206042713.9797","206000086.29593718","179612177.42","4164534612.20566","536957148.611414","0","868799.8893969178","791579.5739494825","66631.79355291826","41604868.015178","13420727.57168073","64460579.50491691"
"15-Jan-25","14338506.318798317","490419425.321895","14577681.865659","216546344.53107","118751284.02954596","327813892.6612","327813892.6612","215488844.35480562","170594329.11","5315407561.347313","778233962.193881","0","279921.1941096185","4263386.849527411","117654.2839180738","49031271.641138","30683116.11615121","64637126.37825267"
"16-Jan-25","15430911.77201101","494823139.43368","14327848.97417537","226046267.21683","154831992.68562302","376040468.9507","376040468.9507","243016157.5728385","169368268.14","5713611240.033681","997055836.259741","0","1427884.0692297847","3609302.762319409","170293.5299176324","49570282.935778","28113399.81985416","71169504.37510566"
"17-Jan-25","12926173.00138248","502402260.121495","27901446.97319638","189328972.17670998","244011556.780406","483788241.1234","483788241.1234","177627275.5614365","171486096.4","5461277249.166444","1210850427.576235","613.1038629151469","4031063.6875219056","6025962.4862313615","146203.6280668479","48662181.107498996","45671903.90127648","71995131.38669117"
"18-Jan-25","23080654.92400766","512373893.25562996","14436290.46411478","167483532.47683","388692442.60870886","451957248.320552","451957248.320552","291894896.5878978","170008599.43","9678960134.805159","2517802841.911759","655.8496596335129","690490.7566362191","1366114.9469755928","179085.8964142461","52068539.597727","45158297.82007767","97583847.46622857"
"19-Jan-25","72860911.53897306","643338146.5060949","20636976.64695955","226782564.78474003","451582098.10537386","745601350.160166","745601350.160166","497196337.30764645","172908446.49","17750219553.230007","2861010198.816096","32018.428111000063","1091678.2754223777","12218929.35118915","402339.6633930743","77302936.794385","64637554.6573102","136067315.72767562"
"20-Jan-25","48481349.63576011","884276119.610255","30776229.05316191","268675071.11678004","323921900.332425","902567292.3107","902567292.3107","767581568.0004021","173219599.16","16339004971.724977","2594973415.840183","43344.065648465425","1526832.332647137","18575644.762222495","490862.5624540158","71265820.644191","40617952.30263258","189506151.19424888"
"21-Jan-25","19562077.290288094","507286893.82615995","13514694.49145216","273421432.62394","178229811.381838","447918689.0283","447918689.0283","379198585.98635197","173121202.32","8341944948.310148","1552916777.307457","159167.4007219987","855368.3604305416","21382886.378886092","139502.7065470099","23333010.229102","30522085.92458389","77927921.66357042"
"22-Jan-25","16474596.217155756","433730229.170905","11780426.94081705","242396267.77559","172696197.242391","259564819.341924","259564819.341924","293455575.4909828","174925703.41","5281551150.558709","1425194598.33588","4303.382467705683","454361.0169402588","3331781.4813231686","80048.06411572866","18571801.007604","17595584.68163449","47182071.97507871"
"23-Jan-25","17854512.83190337","639641691.2666199","15703576.582835","291455228.71557","255879763.9741461","477780940.3529","477780940.3529","532364813.17461115","174986423.22","11321580803.33587","2458380576.834018","506342.4411455799","6742.146137039133","14386700.276673986","181660.1988429717","20059963.937776","40190083.0119151","91619725.66122341"
"24-Jan-25","12454798.173582451","437492524.431825","26281592.22023815","217063442.57825002","164810772.0501449","263595383.440057","263595383.440057","511119150.6309311","","5784731819.255756","1530677988.184672","87857.47321832714","37052.743016249864","3025122.7432709318","153561.7574692209","19836360.712793","23804364.90088098","45748106.05356771"
"25-Jan-25","5850625.581257717","401660247.35366","5602637.652502968","160032938.62309998","89361595.00310999","128912827.5201","128912827.5201","130445425.88725312","177910081.37","3516728432.2845488","526904044.4502","1143.8907151892981","121781.1391033604","1280996.4213023935","51573.9917528574","18658810.442253","13624550.81050026","18917448.962721385"
